Model,MAE,RMSE,R²,MAPE
user_behavior_model,53.20557433755725,59.653534160650764,-0.10482565235381447,114.81898978967297
fusion_model,56.28765259113612,65.55671600465764,-0.3343070241238808,140.99553648515598
monolithic_model,60.33770988775653,70.88672635960023,-0.5600956772814607,144.18550018872926
infrastructure_model,62.5552474261793,74.43161249164946,-0.7200308952791319,164.3025283990457
